timestamp,open,high,low,close,volume
2020-05-11 16:00:00,122.7400,122.7400,122.5500,122.5500,60129
2020-05-11 15:59:00,122.8000,122.8000,122.7100,122.7300,25331
2020-05-11 15:58:00,122.7700,122.8500,122.7600,122.8100,13995
2020-05-11 15:57:00,122.8000,122.8000,122.7500,122.7800,14168
2020-05-11 15:56:00,122.7600,122.8200,122.7300,122.8100,14382
2020-05-11 15:55:00,122.6900,122.7700,122.6800,122.7300,13437
2020-05-11 15:54:00,122.6800,122.7399,122.6450,122.6750,7648
2020-05-11 15:53:00,122.7750,122.7900,122.6700,122.6800,10513
2020-05-11 15:52:00,122.8350,122.8700,122.7600,122.7900,15821
2020-05-11 15:51:00,122.7400,122.8350,122.5400,122.8350,20776
2020-05-11 15:50:00,122.7900,122.8350,122.7050,122.7550,12028
2020-05-11 15:49:00,122.8250,122.8600,122.7400,122.7850,9446
2020-05-11 15:48:00,122.8000,122.8800,122.7900,122.8300,6912
2020-05-11 15:47:00,122.7599,122.8000,122.7200,122.7800,6571
2020-05-11 15:46:00,122.7600,122.8900,122.7500,122.8200,15165
2020-05-11 15:45:00,122.7900,122.7910,122.7300,122.7400,7417
2020-05-11 15:44:00,122.6950,122.7900,122.6800,122.7900,9858
2020-05-11 15:43:00,122.7100,122.7700,122.7000,122.7100,5678
2020-05-11 15:42:00,122.7400,122.7700,122.7100,122.7100,6994
2020-05-11 15:41:00,122.7800,122.8200,122.6800,122.7400,7075
2020-05-11 15:40:00,122.7700,122.8400,122.7200,122.7750,13974
2020-05-11 15:39:00,122.8350,122.8889,122.7900,122.7950,8074
2020-05-11 15:38:00,122.8000,122.8600,122.7800,122.8400,4786
2020-05-11 15:37:00,122.8300,122.8300,122.7500,122.7850,4454
2020-05-11 15:36:00,122.7700,122.8800,122.7500,122.8000,9410
2020-05-11 15:35:00,122.8300,122.8500,122.7500,122.7800,6304
2020-05-11 15:34:00,122.7500,122.8400,122.7100,122.8400,6273
2020-05-11 15:33:00,122.7600,122.7813,122.7100,122.7300,3490
2020-05-11 15:32:00,122.9100,122.9201,122.7000,122.7300,9302
2020-05-11 15:31:00,122.8700,122.9699,122.8100,122.9300,6443
2020-05-11 15:30:00,122.9200,122.9200,122.8500,122.8900,3887
2020-05-11 15:29:00,122.8000,122.9000,122.8000,122.9000,5284
2020-05-11 15:28:00,122.7900,122.8100,122.7700,122.7700,3317
2020-05-11 15:27:00,122.8000,122.8000,122.7700,122.8000,4358
2020-05-11 15:26:00,122.8900,122.9000,122.8000,122.8000,5157
2020-05-11 15:25:00,122.9210,122.9210,122.8500,122.8600,7936
2020-05-11 15:24:00,122.9500,122.9800,122.8950,122.9000,5633
2020-05-11 15:23:00,122.9530,123.0200,122.9530,122.9900,13109
2020-05-11 15:22:00,123.0500,123.0500,122.9600,123.0100,5553
2020-05-11 15:21:00,123.0700,123.0810,123.0600,123.0810,2541
2020-05-11 15:20:00,123.1300,123.1385,123.0000,123.0777,7466
2020-05-11 15:19:00,123.1450,123.1800,123.1100,123.1600,4903
2020-05-11 15:18:00,123.0898,123.1200,123.0898,123.1150,1790
2020-05-11 15:17:00,123.1100,123.1610,123.0600,123.0700,6175
2020-05-11 15:16:00,123.0500,123.1100,123.0200,123.0900,5858
2020-05-11 15:15:00,123.0383,123.0528,123.0000,123.0400,5782
